game_id,week,away_team,home_team,away_score,home_score,outcome,betmgm_home_fair,fanduel_home_fair,draftkings_home_fair,market_home_probability,def_epa_trend_advantage,candidate_home_probability,candidate_predicted_winner,market_predicted_winner,legacy_v2_home_probability
2025_02_WAS_GB,2,WAS,GB,18,27,HOME,0.6164383561643836,0.6105748135146994,0.6152818594710127,0.6140983430500319,0.0,0.6326377054493679,GB,GB,0.39454507167010566
2025_02_BUF_NYJ,2,BUF,NYJ,30,10,AWAY,0.2904564315352697,0.07869481765834933,0.0737913486005089,0.14764753259804264,0.0,0.1443703333732479,BUF,BUF,0.7838514877406852
2025_02_CHI_DET,2,CHI,DET,21,52,HOME,0.7183098591549295,0.7138869504535938,0.7055341817105653,0.7125769971063628,0.0,0.737688710706055,DET,DET,0.34547911718198193
2025_02_CLE_BAL,2,CLE,BAL,17,41,HOME,0.8720930232558138,0.9270998415213946,0.9313929313929314,0.9101952653900467,0.0,0.8826909231989599,BAL,BAL,0.7954362114810809
2025_02_JAX_CIN,2,JAX,CIN,27,31,HOME,0.6255648805681084,0.6287128712871286,0.599271402550091,0.6178497181351094,0.0,0.6369687936797896,CIN,CIN,0.2321569605956656
2025_02_NE_MIA,2,NE,MIA,33,27,AWAY,0.5427435387673957,0.5427774333539988,0.550561797752809,0.5453609232914012,0.0,0.5501372360820203,MIA,MIA,0.308876306472832
2025_02_NYG_DAL,2,NYG,DAL,37,40,HOME,0.6818181818181818,0.6430999320190347,0.6498905908096281,0.6582695682156149,0.0,0.6821195727766208,DAL,DAL,0.7478019765148315
2025_02_LA_TEN,2,LA,TEN,33,19,AWAY,0.3181818181818181,0.2699386503067484,0.30448717948717946,0.297535882658582,0.0,0.2625055906374655,LA,LA,0.24751024542282202
2025_02_SEA_PIT,2,SEA,PIT,31,17,AWAY,0.6465222348916762,0.48542880932556204,0.5,0.543983681405746,0.0,0.5484391749416906,PIT,PIT,0.5489548314208249
2025_02_SF_NO,2,SF,NO,26,21,AWAY,0.4088050314465409,0.4368658399098084,0.4106205619018215,0.4187638110860569,0.0,0.3943053926633863,SF,SF,0.3752525429377984
2025_02_CAR_ARI,2,CAR,ARI,22,27,HOME,0.7446808510638298,0.8487031700288185,0.8472668810289389,0.8135503007071957,0.0,0.8230069862831764,ARI,ARI,0.8374272530686698
2025_02_DEN_IND,2,DEN,IND,28,29,HOME,0.4675324675324675,0.35690006798096535,0.37699680511182115,0.4004764468750847,0.0,0.3727763782972597,DEN,DEN,0.7538296634797911
2025_02_PHI_KC,2,PHI,KC,20,17,AWAY,0.4675324675324675,0.5783762583344229,0.5407914020517831,0.5289000426395578,0.0,0.5297765192436469,KC,KC,0.3723132715444809
